College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,INF,50000,23
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,AID,135000,93
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,BME,135000,32
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CHE,135000,46
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CIV,135000,46
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CSB,135000,46
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CSD,135000,93
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CSE,135000,231
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,CSM,135000,138
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,ECE,135000,185
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,EEE,135000,46
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,INF,135000,139
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,MEC,135000,46
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MEDAK,OU,PVT,NA,COED,JNTUH,PHE,135000,23
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MEDCHAL,OU,PVT,NA,GIRLS,JNTUH,CSE,120000,138
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MEDCHAL,OU,PVT,NA,GIRLS,JNTUH,CSM,120000,47
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MEDCHAL,OU,PVT,NA,GIRLS,JNTUH,ECE,120000,92
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MEDCHAL,OU,PVT,NA,GIRLS,JNTUH,EEE,120000,46
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS),BACHUPALLY,MEDCHAL,OU,PVT,NA,GIRLS,JNTUH,INF,120000,93
CASR,COLLEGE OF AGRICULTURAL ENGG,SANGAREDDY,SANGAREDDY,OU,UNIV,NA,COED,PJTSAU,AGR,9700,33
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,AID,140000,93
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,AIM,140000,46
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,BIO,140000,46
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,CHE,140000,46
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,CIC,140000,46
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,CIV,140000,93
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,CSE,140000,138
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RANGAREDDY,OU,PVT,NA,COED,OU,CSM,140000,46
