College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
RITM,"RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC, TURAKALA KHANAPUR",EC,55361,F,OU,BC_B,BC_A_GIRLS_OU
GZWL,"GOVT MODEL RESIDENTIAL POLYTECHNIC, GAJWEL",EC,55361,M,OU,SC,SC_GEN_OU
IITT,"INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY, SIDDIPET",EC,55361,F,OU,SC,SC_GIRLS_UR
MHVR,"MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY, BANDLAGUDA",EE,55361,F,OU,BC_D,BC_D_GIRLS_OU
YDGR,"GOVT.POLYTECHNIC, YADAGIRIGUTTA",ME,55361,M,OU,BC_B,BC_B_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",ME,55361,M,OU,SC,SC_GEN_OU
SGMA,"S G M GOVT POLYTECHNIC, ABDULLAPURMET",AU,55405,M,OU,SC,SC_GEN_OU
SRRS,"SRRS GOVT POLYTECHNIC, SIRCILLA",CE,55405,F,OU,BC_B,BC_B_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CE,55405,F,OU,BC_B,BC_B_GIRLS_OU
VISA,"VATHSALYA INSTITUTE OF SCI. AND TECHNOLOGY, BHONGIR",CS,55405,M,OU,OC,EWS_GEN_UR
ARJN,"ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE, BATASINGARAM",CS,55405,M,OU,BC_A,BC_A_GEN_OU
MDCL,"GOVERNMENT POLYTECHNIC, MEDCHAL",EC,55405,F,OU,BC_D,BC_D_GIRLS_OU
TCEK,"TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY, PEDDAPALLY",EE,55405,M,OU,BC_B,BC_A_GEN_UR
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING, MAHABUBNAGAR",EE,55405,F,OU,BC_D,BC_D_GIRLS_OU
MHVR,"MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY, BANDLAGUDA",EE,55405,M,OU,BC_E,BC_E_GIRLS_OU
LTHD,"GOVT. INSTT OF LEATHER TECHNOLOGY, HYDERABAD",LF,55405,M,OU,BC_D,BC_B_GEN_UR
KCEA,"KSHATRIYA COLLEGE OF ENGINEERING, ARMOOR",CE,55483,M,OU,BC_D,BC_D_GEN_OU
VVKN,"VIVEKANANDA INSTT OF TECH. AND SCI.  BOMMAKAL, KARIMNAGAR",CE,55483,M,OU,BC_E,BC_E_GEN_OU
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING, MAHABUBNAGAR",CE,55483,M,OU,ST,ST_GIRLS_UR
SVSE,"SVS GRP OF INSTNS - SVS INST OF TECH., HANAMKONDA",CS,55483,M,OU,SC,SC_GEN_UR
SMED,"ST.MARYS GROUP OF INSTITUTIONS, DESHMUKHI",CS,55483,M,OU,BC_B,BC_A_GEN_OU
WITS,"WARANGAL INST OF TECHNOLOGY SCIENCE, WARANGAL",CS,55483,F,OU,BC_E,BC_E_GIRLS_OU
SVSP,"S.V.S.POLYTECHNIC, HANAMKONDA",CS,55483,F,OU,BC_A,BC_A_GEN_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EC,55483,M,OU,BC_B,BC_B_GEN_OU
